"method","parameter","true_value","mean_est","bias","rmse","emp_se","mce_bias","mce_emp_se","mce_rmse"
"ELF","X_12",0.5,0.557019386265363,0.057019386265363,0.171331922650767,0.161727328447184,0.00723266600454676,0.00511938912925915,0.00650461974580274
"ELF","V_12",-0.3,-0.311416202876594,-0.0114162028765939,0.0742946696447573,0.0734858393615901,0.0032863866439229,0.00232615359935948,0.00232752686511951
"ELF","X_13",0.3,0.358880792317885,0.0588807923178851,0.160163197275969,0.149096484133063,0.00666779747455493,0.00471956673872116,0.00609026130459941
"ELF","V_13",0.2,0.127729724274657,-0.0722702757253431,0.0924357246900392,0.0576890500749727,0.00257993275050057,0.00182611497182773,0.00233989492340729
"ELF","gamma_13",-0.4,0.222335860552245,0.622335860552245,0.873483164792685,0.613533832297526,0.0274380671102645,0.01942107411069,0.0169896176521846
"ELF","X_23",0.4,0.406636644288384,0.00663664428838354,0.0905450826044422,0.0903919706231754,0.00404245181867169,0.00286130783352252,0.00292874023736613
"ELF","V_23",0.1,0.0964898409035862,-0.0035101590964138,0.0423334931032147,0.042229967579449,0.00188858156390521,0.0013367662659796,0.00130822153446821
"ELF","intercept_cure",-0.24998232720929,-0.49301158595639,-0.2430292587471,0.403906121020939,0.322932663261273,0.0144419877441451,0.0102222548387817,0.0131954640867944
"ELF","X_cure",0.5,0.654702927133875,0.154702927133875,0.279724701366215,0.233284711036613,0.0104328094397852,0.00738449849614142,0.0107389797720324
"ELF","V_cure",-0.2,-0.242732533025829,-0.0427325330258292,0.132363258314547,0.125401011160357,0.00560810370803536,0.00396949964793422,0.00420272976249842
"Multicure","X_12",0.5,0.583016770445586,0.0830167704455862,0.185008544932761,0.165502748746381,0.0074015079331995,0.00523889797061372,0.00684917898796135
"Multicure","V_12",-0.3,-0.301343362178227,-0.00134336217822722,0.0783607265767848,0.0784276778248453,0.00350739237867614,0.00248258476254168,0.00259472456704893
"Multicure","X_13",0.3,0.306696765284735,0.00669676528473458,0.159753538080378,0.15977296725683,0.00714526431506242,0.00505752490675202,0.00599289025031891
"Multicure","V_13",0.2,0.146605648264796,-0.0533943517352043,0.0793380925782487,0.05874076174952,0.00262696672644092,0.00185940632317501,0.00223281525256301
"Multicure","gamma_13",-0.4,0.028646626499792,0.428646626499792,0.814130468158709,0.692842370149528,0.0309848527469283,0.0219315420101803,0.0318601497160833
"Multicure","X_23",0.4,0.40701052309275,0.00701052309275043,0.087667989030152,0.0874747536813914,0.00391198991093282,0.00276896494476741,0.0028777018662394
"Multicure","V_23",0.1,0.0971124732576277,-0.00288752674237233,0.0425868766422455,0.0425314248014948,0.00190206314072126,0.00134630872760495,0.0013429692974149
"Multicure","intercept_cure",-0.24998232720929,-0.39054173534985,-0.140559408140561,0.317471672775283,0.284945088050874,0.0127431317347284,0.00901977915674178,0.00868610438312769
"Multicure","X_cure",0.5,0.655242922619274,0.155242922619274,0.269824071082185,0.22091235558404,0.00987950088311039,0.0069928584275434,0.00915510157078488
"Multicure","V_cure",-0.2,-0.206473474780524,-0.00647347478052371,0.124385990233149,0.124341829130385,0.0055607356476441,0.00393597182661789,0.00385402578519606
