"method","parameter","true_value","mean_est","bias","rmse","emp_se","mce_bias","mce_emp_se","mce_rmse"
"ELF","X1_12",0.5,0.511921199032962,0.0119211990329622,0.0452146929023803,0.0436585111870664,0.00195246797621431,0.00138198602373932,0.00176990847022586
"ELF","X2_12",0.5,0.514850707144456,0.0148507071444565,0.0469248055350134,0.0445574303681264,0.00199266886411688,0.00141044081321607,0.00147708764447452
"ELF","X1_13",0.5,0.506826921256474,0.0068269212564737,0.0652156090423917,0.0649222504703916,0.00290341130608127,0.00205507792960115,0.00208853248613453
"ELF","X2_13",0.5,0.510849293127007,0.0108492931270074,0.0700310688288364,0.0692548620082161,0.00309717158445478,0.00219222435142734,0.00219053511343802
"ELF","gamma_13",0,0.090542983379346,0.090542983379346,0.732624043657441,0.727735635940265,0.0325453270322294,0.0230360690390293,0.0275029910067589
"ELF","X1_23",0.5,0.356880699132131,-0.143119300867869,0.145563174014114,0.0265879142190725,0.00118904767147559,0.000841625718607268,0.00118078528723378
"ELF","X2_23",0.5,0.361644753604967,-0.138355246395033,0.140707355238572,0.0256456821947501,0.00114690977433635,0.000811799885033748,0.00114661185656591
"ELF","intercept_cure",-0.5,-0.54326906167837,-0.0432690616783701,0.140861483776262,0.134185533601724,0.00600095949461074,0.00424756884702294,0.0112159712656181
"ELF","X1_cure",-0.5,-0.47782309787651,0.0221769021234896,0.0832780844572186,0.0803513350053568,0.00359342094309673,0.00254347706659992,0.00579742201942774
"ELF","X2_cure",-0.5,-0.476150863731121,0.0238491362688787,0.0811746671322261,0.0776698815775117,0.0034735027002335,0.00245859714147577,0.00389641626352593
"Multicure","X1_12",0.5,0.509941325642185,0.00994132564218499,0.0426961080713619,0.0415642015997745,0.00185880760415203,0.00131569181213373,0.0014581261123668
"Multicure","X2_12",0.5,0.512613464991185,0.0126134649911854,0.0446169998220418,0.0428397907251537,0.00191585368406618,0.0013560698803586,0.00127168218677071
"Multicure","X1_13",0.5,0.506507865742876,0.00650786574287624,0.0656100763661965,0.0653519054607096,0.00292262606138573,0.0020686784206739,0.00212996213288179
"Multicure","X2_13",0.5,0.510892085468449,0.0108920854684494,0.069660455043911,0.0688725513374392,0.00308007413148716,0.00218012251860313,0.00220921988647356
"Multicure","gamma_13",0,-0.0899756262365127,-0.0899756262365127,0.796324782490527,0.792017758735394,0.0354201109583874,0.02507088408113,0.031761851709002
"Multicure","X1_23",0.5,0.498347169821626,-0.00165283017837408,0.0409128368473549,0.0409203778813398,0.00183001493215309,0.00129531192843095,0.00138717246835797
"Multicure","X2_23",0.5,0.504296815442103,0.00429681544210285,0.0386191187186225,0.0384177765985634,0.00171809520037577,0.00121609346903434,0.00127306324231613
"Multicure","intercept_cure",-0.5,-0.531577126218577,-0.0315771262185774,0.104144517970215,0.0993413465244111,0.00444268007609891,0.00314459537770157,0.00349947857306524
"Multicure","X1_cure",-0.5,-0.484587286689983,0.0154127133100173,0.0715075903444057,0.0698967442374576,0.00312587743041744,0.00221254277836356,0.00213194574594537
"Multicure","X2_cure",-0.5,-0.483008510513259,0.0169914894867414,0.0718093634310069,0.0698400259151444,0.0031233409099322,0.00221074739124211,0.00247477845232171
