"method","parameter","true_value","mean_est","bias","rmse","emp_se","mce_bias","mce_emp_se","mce_rmse"
"ELF","X_12",0.5,0.69660671898841,0.19660671898841,0.459786625738973,0.416047750526883,0.0186062210412797,0.013169761423442,0.015291195529977
"ELF","V_12",-0.3,-0.358546800195041,-0.0585468001950414,0.20002396967487,0.191455402048002,0.0085621458727777,0.0060604148562472,0.00687558938498624
"ELF","X_13",0.3,0.379145878090922,0.0791458780909218,0.180613926955373,0.162511971476578,0.0072677563075827,0.00514422657036201,0.00586801952048493
"ELF","V_13",0.2,0.110600547838413,-0.0893994521615866,0.115453569467562,0.0731297516552858,0.00327046191757794,0.0023148818399715,0.00324264505089701
"ELF","gamma_13",-0.4,0.0984793730852275,0.498479373085227,0.924253618637419,0.779087299481482,0.0348418432409466,0.0246615775453924,0.029929156663942
"ELF","X_23",0.4,0.413149189310761,0.0131491893107611,0.172880040662478,0.172551892458797,0.00771675522368206,0.00546203471588998,0.00615951922683244
"ELF","V_23",0.1,0.103165069824919,0.00316506982491883,0.0861013499867781,0.0861293290650719,0.00385182069291898,0.00272637627270341,0.00250139818640355
"ELF","intercept_cure",1.16666910676099,0.59906674947006,-0.56760235729093,0.677392183860966,0.370083312336355,0.0165506288744475,0.0117147825558356,0.0177491071387207
"ELF","X_cure",0.5,0.820437355212784,0.320437355212784,0.534747550226517,0.428534862191777,0.0191646616517864,0.0135650340364684,0.0185869988165149
"ELF","V_cure",-0.2,-0.312126387375449,-0.112126387375449,0.238591705965067,0.210814042536338,0.00942789059445566,0.00667320191347968,0.00873471369992441
"Multicure","X_12",0.5,0.710556530458374,0.210556530458374,0.430793758807162,0.376207754648746,0.0168245222611432,0.0119086483897541,0.0142607028613791
"Multicure","V_12",-0.3,-0.322251625621674,-0.0222516256216742,0.188468411406217,0.187337657856818,0.00837799475426887,0.00593006994143399,0.00709474952792833
"Multicure","X_13",0.3,0.316120335772567,0.0161203357725674,0.146610194416171,0.14586719424889,0.00652337924055368,0.00461734535358488,0.00549234224508956
"Multicure","V_13",0.2,0.128848882626861,-0.0711511173731394,0.0937652451147652,0.0611302994841001,0.00273383010262736,0.00193504581848986,0.00289427887558462
"Multicure","gamma_13",-0.4,0.436842529272149,0.836842529272149,1.46759669579486,1.20683368273551,0.0539712430426605,0.0382016527172008,0.180337350218619
"Multicure","X_23",0.4,0.411287499045893,0.0112874990458928,0.16857941956929,0.168369562828266,0.0075297157565185,0.005329645384717,0.00585826161868061
"Multicure","V_23",0.1,0.104411882104062,0.00441188210406194,0.0856676984101842,0.0856396996931048,0.003829923801729,0.00271087732575189,0.00256184912441869
"Multicure","intercept_cure",1.16666910676099,0.878928040686502,-0.287741066074487,0.419480191899165,0.305541193838642,0.0136642175869929,0.0096717374935754,0.0136862319728143
"Multicure","X_cure",0.5,0.766513009916313,0.266513009916313,0.453444614005638,0.367222737031976,0.0164227000577405,0.0116242326267835,0.0166818032356815
"Multicure","V_cure",-0.2,-0.229272839796863,-0.029272839796863,0.19747414278121,0.195488027908391,0.00874249038381077,0.00618806539737876,0.00793690106487133
