"method","parameter","true_value","mean_est","bias","rmse","emp_se","mce_bias","mce_emp_se","mce_rmse"
"ELF","X_12",0.5,0.537963007864978,0.0379630078649783,0.154453676439766,0.149865498146415,0.00670218882674503,0.00474390945196574,0.00476728389487968
"ELF","V_12",-0.3,-0.261292362655706,0.0387076373442944,0.0908536684319863,0.0822778656329764,0.00367957801197858,0.00260446032803703,0.00312596469316188
"ELF","X_13",0.3,0.17156085990454,-0.12843914009546,0.213152658297471,0.170280456596213,0.00761517352377668,0.00539013367001003,0.00984859669555109
"ELF","V_13",0.2,0.214166216858769,0.0141662168587687,0.0684051523871966,0.0669892401032072,0.00299584989263653,0.00212050734315869,0.00270724977304738
"ELF","gamma_13",-0.4,-0.670002603750806,-0.270002603750806,0.699810728667126,0.646273152700313,0.02890221402942,0.0204574191896486,0.0217555360529884
"ELF","X_23",0.4,0.393909458108584,-0.00609054189141631,0.0946206933724615,0.0945190383519438,0.00422701989845712,0.00299194787976105,0.00291613901167745
"ELF","V_23",0.1,0.099465487283566,-0.000534512716434051,0.0483889566963607,0.0484344631513529,0.00216605504120267,0.00153316614154988,0.00148282576781043
"ELF","intercept_cure",-1.66664027731256,-1.30998994197688,0.356650335335684,0.691246019596936,0.592726114159284,0.0265075176659892,0.0187624173019467,0.016867372392044
"ELF","X_cure",0.5,0.550254950113903,0.050254950113903,0.460833625378776,0.458543995119023,0.0205067108752094,0.0145149565409783,0.022345771245437
"ELF","V_cure",-0.2,-0.0360093208588153,0.163990679141185,0.28876579735394,0.237920059654166,0.0106401085319504,0.00753122789278001,0.00798540807038269
"Multicure","X_12",0.5,0.544622500240751,0.0446225002407506,0.160029362784194,0.153836148373757,0.00687976170320927,0.00486959818871244,0.00523332814906076
"Multicure","V_12",-0.3,-0.262949892540199,0.0370501074598006,0.0910462465666367,0.0832500431860007,0.00372305511387381,0.00263523407075849,0.00318656867720255
"Multicure","X_13",0.3,0.154564966006564,-0.145435033993436,0.231059738796672,0.179727175171438,0.00803764362174695,0.00568916432144982,0.0107441344469772
"Multicure","V_13",0.2,0.218747818923735,0.0187478189237346,0.0739449716375968,0.0716004984538903,0.00320207163531535,0.00226647417572405,0.00332983576820215
"Multicure","gamma_13",-0.4,0.736165148409694,1.13616514840969,1.2983328493328,0.628957963169772,0.0281278552127484,0.0199093164422354,0.0265595013113741
"Multicure","X_23",0.4,0.393988743681961,-0.00601125631803882,0.0934344262182548,0.0933342346565889,0.00417403386640099,0.00295444357410941,0.00290228939615253
"Multicure","V_23",0.1,0.100113744895814,0.00011374489581383,0.0483994066192279,0.0484477449544804,0.00216664902149581,0.00153358656968161,0.00149240676479424
"Multicure","intercept_cure",-1.66664027731256,-1.2826280955565,0.384012181756057,0.643870150670256,0.517338083435035,0.0231360624382039,0.0163760508871202,0.0154683103302223
"Multicure","X_cure",0.5,0.550026619997277,0.0500266199972767,0.441013206183968,0.438605443183154,0.0196150317251791,0.013883812707628,0.0203884142072606
"Multicure","V_cure",-0.2,-0.0297613056628092,0.170238694337191,0.286782128440939,0.231018430376954,0.0103314582875634,0.00731276063535868,0.00843785843762512
